Review,Evalu
"könntet ihr bitte noch einen flüchtlingstatort drehen ? könnt zur not auch in chemnitz im stadtzentrum drehen ...da herrscht action ohne ende,so ziemlich jeden tag blaulicht,wäre bestimmt spannend.ihr könnt natürlich auch so ne art soap draus machen oder ..wer hat am meisten mut ? zb. nachts in chemnitz alleine durch die parks ...hätte auch was oder ? ach ja für chemnitz kann man mittlerweile auch jede x-beliebige deutsche großstadt nehmen ;)",0
thema verfehlt....langsam nervts,0
"von gibt's n 2. ich fands gut umgesetzt, wenn auch manchmal ein bisschen zu klischeehaft. und auch ich kann bestätigen, als regelmäßige tatort-schauerin, das thema flüchtlinge wird hier nicht überstrapaziert.",1
".....klischeehaft wurde nahezu alle aspekte der flüchtlingsproblematik eingefügt, für mich zu platt, da zu wenig objektiv, leider nur ne 4...",0
thema verfehlt 6,0
"als der eine asylant - und ich geh mal davon aus, dass es sowas auch wirklich gibt - gesagt hat ""wir wollen keine juden oder christen"" ist mir fast die hutschnur geplatzt. es ist als ob ein obdachloser zur kleiderspende geht und sagt ich nehme aber nur sachen von chanel !! 😏😏😡
ps: ich fand den film sehr gelungen !!",1
ging garnicht....,0
4 fand alles etwas merkwürdig und die werbung für bamberg...ich hab so gut wie nix erkannt,1
4 zu lang gezogen,0
ich fand ihn gut!,1
nach 5 minuten umgeschaltet,0
"klischees bedient. die armen flüchtlinge werden von deutscher putzfirma ausgenutzt. alle sind eigentlich brav und werden von einem einzigen zu straftaten angestiftet....alle sprechen deutsch - natürlich ist einer arzt....usw. wenn der junge am ende nicht erschossen worden wäre, hätte ihn der kommissar adoptiert und irgendwann wäre er auch polizist geworden...😂😂😂😂😂😂setzen 6",0
6 aber wer gezielte propaganda mag für den ist es eine perfekte 1,0
"das ende....... der verantwortliche war plötzlich total unwichtig. und ich bin der meinung, daß thema ist ausgereizt. eine 4",0
"2, jene welche ich kenne, die fans sind haben schon bei dem thema umgeschaltet. was ich schade finde denn es war der beste u emotionalste zu dem thema.",1
ich gebe eine 1 endlich mal wieder ein guter tatort.,1
schrott,0
müll,0
von diesem tatort werde ich keinen mehr schauen einfach nur schlecht,0
zwei👍,1
"war der flüchtling am ende tot oder war das ein cliffhänger? ich fand den tatort eigentlich super. anfangs hat mich das thema abgeschreckt aber dieser tatort ist unglaublich gut damit umgegangen.",1
- 6. wirklich übel 🤢,0
"am besten einstellen, den schmarrn....",0
"1! top durchdachte charaktere, sehr schön in graustufen gezeichnet, eben wie das echte leben auch ist; jeder, der meckert, sollte den tatort eventuell zu ende schauen, bevor er hier großspurig noten vergibt",0
"also ich muss sagen, es gab bei weitem schon sehr viel schlechtere tatorte. -meine meinung!!! :-) ich fand ihn gelungen ...",1
ich hab gleich umgeschalten :( es nervt nur noch ....und jetzt auch noch im tatort ...,0
"4 , weil ich das ende echt blöd fand! denn trotz all der probleme, die flüchtlinge ganz sicher haben, muss man in deutschland nicht kriminell werden !",0
alle klischees eurden erfüllt - selten so gelangweilt...,0
6 für den schrott 🤢,0
note 4 ermittler langweilig u schon wieder flüchtlingsthema,0
"6 , in worten sechs !",0
"staatspropaganda, note 6.",0
"klischee, klischee, klischee...",0
"propaganda,deutscher böse flüchtlinge gut note 6",0
"die ""blauhaarige tochter"" muss bleiben!",1
"fand ihn er schwach! das der 'blauhaarige schlumpf' mehrfach einen solchen schrank zusammen tritt, war dann doch sehr unrealistisch 😏 schade",0
schlichte gemüter müssen halt auch hin und wieder bedient werden.,0
klasse wie immer 1. 👍,1
1-2 thiels angebliche tochter bringt schwung in den tatort und gibt boerne paroli,1
"dialog wieviel liegestütze kannst du boerne ?? antwort : alle , herzhafter humor",1
"von mir gibt es die note 1, ich liebe tatort münster, basta. frau schlumpf...",1
suuuppiii,1
eingeschlafen😂,0
"4 minus 	tatort aus münster wie immer belanglos und überfüllt mit billigen witzchen aus der niveaustufe von mario barth oder guido kantz. dieses katastrophale ermittlerduo sehe ich eher als ard pendant zu den rosenheim cops von zdf an , aber nicht tatort würdig. story war insgesamt aus sehr schwach, da gab es wieder zu viele zufälle.",0
"lustige krimi-komödie, aberbwad anderes war auch nicht zu erwarten.",1
"also für einen münster tatort eher schwach. aber ich war trotzdem unterhalten. fand es etwas weit hergeholt, dass zufällig thiels ""tochter"" was mit dem toten und boerne was mit der bösen zu tun hatte und das plötzlich alles zusammenpasste..",0
"janina fautz konnte nicht zeigen, was sie kann. das drehbuch war schlecht.",0
ich fand ihn echt gut.klasse 👍👏👏👏,1
von mir gibt es eine 1,1
gute unterhaltung 👍,1
2 nicht ganz so toll wie sonst,1
glatte 1,1
klasse 👍👍👍,1
gut,1
"zu konstruiert. früher konnte ich mehr lachen, jetzt ist es ein tatort wie jeder andere auch.",0
"ziemlich dürftig und schwach.
nicht ganz so katastrophal wie schwanensee, aber durchaus nah dran.
schade, die zeiten guter münster tatorte sind vorbei.",0
"die ""blaue"" tochter ( janina fautz ) sollte fester bestandteil dieses tatortes bleiben. sie könnte echte abwechslung reinbringen",1
zu sehr konstruiert,0
"war nicht doll.einzigartig waren die sprűche, handlung, na ja .plőtzlich taucht vielleicht tochter auf, alte masche der krimis.deshalb eine 4 von mir.",0
war schon lustiger und die argen kommentare zur kollegin waren nicht gut ...besser wäre hilfe gewesen beim lampenwechsel..ansonsten eben sehr unterhaltsam,1
"na ja, nach all den schwachen tatort-folgen zu anfang dieses jahres, zählt dieser hier zu den besseren. für mich wars trotzdem zuviel überflüssiges gequatsche, der fall mit (zu)vielen zufällen passend gemacht, wenig spannung.... eher eine krimi-komödie.",0
wie immer bot münster gute unterhaltung,1
"ich fand ihn nur durchschnittlich, also 3",0
war super..... glatte 1,1
2- nette unterhaltung,1
nette sonntag abend unterhaltung. münster halt: gut! (2),1
"ich fand ihn unterhalsam, spannend, lustig und wirklich sehr gut - eine 1!",1
1 ... die beiden sind schon der beste tatort ;),1
1 super gut schaue heute nacht die wiederholung an,1
2 ... nicht übermässig spannend aber gute unterhaltung.,1
"die beiden sind und bleiben für mich die nr. 1 der darsteller. ich hoffe nur, das sie uns noch viele jahre erhalten bleiben",1
"also die beiden waren wie immer gut, aber der tatort ansich war okay. die geschichte war etwas langweilig. heute gibt es eine 3.",1
war gut.. 2,1
"war schon mal besser,ne 3 passt",0
die vermeintliche tochter war super besetzt....tolle schauspielerin,1
mir hat es gefallen! note 2!❤,1
ich fand ihn toll.von mir gibts ne 1,1
schaue schon seit jahren keinen tatort mehr. früher war es mal nur unterhaltung. heute meint jeder fernsehkritiker zu sein. außerdem sind mir das zu viele tatorte. irgendwann ist der autorenkopf leer.,0
note 2,1
eine gute 2. die 1 gibts von mir nur bei den ganz großen tatorten.,1
mich hat leila extrem genervt und ich hab mir mehr alberich und fr. klemm gewünscht. vaddern ist hoffentlich in der nächsten folge wieder dabei. je ein punkt jedoch für nadesha und die interaktion zwischen thiel und boerne. eine gute 3 von mir.,0
"sehr gut ..... 1 ....... setzen
die beiden sind einfach spitze ! ich hoffe man bekommt noch viel zu sehen .",1
"5 ... schlechte dialoge, zu viel sinnlose szenen drum herum, versuchte witzigkeit auf knopfdruck gepaart mit unglaubwürdigen zufällen, eine ernüchternde zeitverschwendung",0
wie viele liegestütze kann ich ? - alle 😅 dafür gibt's schon allein ne 2 für :),1
ganz großartig. mit den beiden darstellern gibt es keinen flop.,1
wie immer gähnende langeweile in ms 👎🏻,0
1 plus mit sternchen,1
"tolles darsteller, aber story für mich undurchschaubar, daher note 6!",0
wie immer super 5sterne ⭐️⭐️⭐️⭐️⭐️ und note 1,1
"endlich wieder ein spannender krimi, kein vergleich zu den bräsig-langweiligen tatorten der letzten wochen.",1
eine 1 für das neue auto des herrn börne 😂😂,1
müll,0
juht 2,1
"nicht meins. die beiden sind einfach nicht mit der zeit gegangen. man kann lustig nicht über jahre hinweg immer unverändert bringen, da muss auch mal neues her.",0
"mir hat er gefallen, man musste wohl nicht viel denken, aber was solls. war auf jeden fall besser, als so mancher davor. 2.",1
"note 2 ,war schon besser,und hatte schon mehr humor",1
"sehr schwacher tatort .flache story, sehr dünn umgesetzt.",0
super tatort mal aus münster. ist halt doch der beste. macht weiter so 🖒👍👍👍👍,1
"wer hat das zitat mit den ganzen"" s- lauten"" noch drauf?? irgendwas mit stechuhr.... ich musste so lachen, und dann wieder zu hören und weg war's. wer hat's noch drauf??? super tatort... hatte am vorabend noch "" verstehen sie spaß ""? gesehen.... auch lustig, wie ruhig und entspannt die beiden waren, so am frühen morgen!!",1
note 2 !!! gab schon bessere,1
ich habe den vaddern ( vater von thiel vermisst ) der ist auch immer das salz in der suppe!!!,0
von mir eine 2.,1
war nicht so spannend wie sonst aus münster.,0
"ich fand ihn nicht gut , war kein richtiger tatort !",0
"1, logisch",1
1 ... fantastisch :),1
najaaaa. es wirkt vieles doch ziemlich aufgesetzt. albern.,0
lustig 2,1
der suv der jägersfrau hat mir gefallen!,1
dieser tatort ist der beste und bekommt die note 1.die beiden könnte ich jeden sonntag im tatort sehen.,1
"börse und thiel sind bei uns ein muss, wir lieben sie 😀",1
natürlich eine 1 👍,1
4 ging gar nicht.,0
super klasse natürlich die 1,1
"note 2. war wie immer richtig gut, klasse unterhaltung. aber mir hat etwas die spannung gefehlt!",1
"der größte idiotenschwachsinn den es gibt. tatort münster, schlimmer gehts nimmer. da wird ne bluray geschaut oder ein alter tatort.",0
"wie immer, spitze",1
2 es gab in letzter zeit schlechtere folgen aus münster.,1
eine 1. war alles dabei.,1
nur 3.....war langweilig,0
mein absolutes lieblingsteam 😊🖒,1
gut,1
3 gab schon bessere.,0
"6-zu vieles sinnloses vorhersehbares gequatsche. und wenn man denkt schlimmer geht nimmer, kommt noch einer drauf. mann mann mann.",0
sehr gut 1,1
"zuviele zufälle bei den ermittlungen. und alkohol+jagd geht gar nicht. trotzdem mag ich den tatort münster, gerade weil er so viel humor hat.",1
der war grandios,1
war nix....,0
1. unterhaltung at its best!,1
eine glatte 5,0
super ... 1,1
den einzige tatort den ich nicht schaue. münster geht gar nicht.,0
war ok ich mag den tatort münster,1
trop bien. .1,1
"3, viele nebengeschichten wirkten sehr konstruiert und langweilig.",0
2 war echt gute unterhaltung !,1
1 + * endlich mal wieder ein tartort den man verfolgen kann,1
"tatort mit humor ist toll, aber der tatort der münsteraner wird immer mehr zum kasperletheater. das tatmotiv war absolut blöd.",0
"sorry, diesmal bin ich eingeschlafen.",0
komödienstadl aber kein tatort...furchtbar !,0
super!,1
"börne und thiel im team wie immer ein klamauk -garant. handlung an sich ging ziemlich unter, muss wohl aber auch nicht...die tochter fand ich überzogen, wie auch ansatzweise der hype um den tatort münster , ist mir langsam etwas zu medial forciert. aber abwechslungsreich und unterhaltsam war er allemal.",0
super,1
"gut, aber eben nicht super gut!",1
hat mir sehr gu gefallen!!!,1
"endlich mal wieder ein tatort, den ich von anfang bis ende geschaut habe 👍",1
3 gibt bessere,1
2 aber die blaue göre war überflüssig,1
es gab schon bessere aber man musste nicht wegzappen.,1
"einige witze, zu szenenenden, wirkten ganz schön bemüht. von mir eine 2.",1
3!!! gab schon bessere...,1
genial,1
super 1 wie immer!!!!,1
habe mich wie immer köstlich amüsiert,1
krimi war super,1
"naja ich weiß nicht so recht. hat sich zu sehr um das mädel gedreht gab es schon besseres aus münster...",0
glatte 1,1
super tatort hat mir sehr gut gefallen,1
"top, tatort mit unterhaltungswert",1
"2 , denn er war gut. ich hätte ihn auch besser bewertet, aber ich warte noch auf den knaller-tatort. 👍🏽",1
hervorragende leistung aller beteiligten. ein krimi wie sein soll. spannend bissig und witzig.,1
4 . . . die haben sich selbst überholt.,0
wie immer super! eines der besten teams!,1
"so sehr es mich schmerzt: mangelhaft. hätte nie gedacht das es mal soweit kommt.",0
eine glatte 1,1
bin wieder eingeschlafen,0
"ein toller tatort - hätte mir jedoch gewünscht, dass der killer mal nicht im darknet bestellt worden wäre und boerne am schluss in einer schicken g-klasse abgebraust wäre und nicht in einem weißen hummer ^^",1
"der erste münstertatort, der mir so richtig gefallen hat",1
1aber römisch eins ganz supi😘,1
es war echt spannend und amüsant,1
"sehr spannend und auch witzig. von mir jedoch etwas abzug, weil die handlung mit der tochter, die dann doch nicht die tochter war, mir irgendwie als schon mal gewesen vorkam.",1
"ich liebe die zwei zwar, aber irgendwie wars ne abgedroschene story und stets wiederholte witze ...",0
"1,5 :) immer wieder klasse!",1
"ich fand ihn ""too much"". zuviel nebensächliches. derrichtige krimi hat mir gefehlt",0
naja....,0
wunderbar 😊,1
glatte 2,1
teilweise sehr unrealistisch. beim tatort nervt das.,0
2 war schon mal besser😕,1
war mir leider zu wenig krimi ..,0
glatte 1,1
teilweise albern... jan josef liefers als heinz-rühmann-feuerzangenbowle,0
1 mir hat er wieder gut gefallen.,1
"er war gut, aber nicht der beste münster tatort. börnes rolle wird mittlerweile zu sehr überspitzt. dadurch verliert sie leider etwas. die leichtigkeit geht etwas verloren.",1
"war spitze - endlich wieder die einheit von story, witz und intelligenter unterhaltung.",1
klasse!,1
...endlich wieder mal ein tatort der richtig klasse wahr...ebend tatort münster :) ...eine 1,1
1 👍🏻ist mir der liebste tatort 👍🏻,1
note2: der tatort vor 3 wochen fand ich am besten ...,1
alle so super....ich so *gähn*....sorry aber so langsam nervt das gewollt komische....story war ok...die figuren entwickeln sich irgendwie nicht weiter... eigentlich fast immer das selbe....,0
"das beste kommt aus münster ,",1
ist der beste tatort mit boerne und thiel,1
natürlich eine 1,1
zum ersten mal geguckt und begeistert gewesen! 😊👌,1
1+ mit *,1
note 1,1
klar ne 1,1
1 mit stern,1
immer wieder gerne sehe ich diesen tatort,1
die beiden sind die besten,1
ich möchte einen tatort mit mehr budget. ich glaube so würde er auch zukunftsweisend sein und auch die heutige jugend interessieren. es muss kein sherlock holmes 130 millionen dollar film werden. aber 30 millionen pro tatortfilm wären schon wünschenswert für so eine lange und erfolgreiche krimiserie. sie hat ein multimillionen dollar budget verdient. eine anschließende blu ray veröffentlichung und stream wären auch wirtschalftlich interessant. denkt mal darüber nach ard.,0
keine frage 1,1
wieder mal ein super tatort aus münster. einfach toll und spannend. extra spannend wegen dem gag von 'verstehen sie spaß' vom vorabend. einfach toll!!,1
note 1,1
super !!!!,1
"hmm. ich kapiere da was nicht: der aus dem haus geflogen ist, war doch wegen der tierfutter-geschichte, der hat doch nix mit der haarwuchsmittel-tante zu tun die killer bestellt. finde ich nicht sauber, sorry, erwarte ne logische und saubere handlung, rekorde hin oder her.",0
super tatort. super team,1
hat mit krimi nicht mehr viel zu tun,0
"es wat ein guter tatort. allerdings war die geschichte etwas dünn. es wirkte teilweise so, als müsste man lücken fühlen. die geschichte wirkte etwas unrund. sorry bin bei euch zwei was besseres gewöhnt.",0
nummer 1. ganz klar,1
"früher habe ich sie sehr gemocht. doch inzwischen zu viele klischees, zu viel nonsens. der tollpatschige, dicke, ,ärmliche, dümmliche kommissar gegen den smarten, dreisten, wohlhabenden pathologen. ist flach geworden, der tatort aus münster, schade 🤐",0
ich gebe eine 2,1
"4 dies war wie immer wenn aus münster gesendet wird, eine komödie und kein tatort",0
"ganz schön konstruiert. zum schluss ist noch die schießlehrerin von börne die haupttäterin. ich würde eher ""krimi-schwank"" zu dem kindermärchen sagen.",0
das sind die besten,1
ganz klar eine 1,1
kann die zwei irgendwie nicht mehr sehen....sorry.,0
"eine 2 gibts von mir. er war wie immer lustig, wortwitzig und spannend bis zum schluss. nur des mit der tochter vom kommissar hat irgendwie nicht gepasst",1
die besten 💋,1
eine klare 4 das hatte mit tatort nicht viel zu tun,0
der unterhaltungswert ist gut aber dann um 18.00 senden,1
eine 1+ mit *,1
sehr gut das nenne ich tatort und nich den schrott den man sonst unter den namen geboten bekommt,1
"1 war mal wieder super !!!!",1
2+war wieder sehr schön 😊,1
gäähhnnnn ... leider eine 6 .. und das früheren 1ern .. lang ists her.,0
top! 1,1
super klasse !!!!,1
"na ja, es gab schon viel besseres aus köln. hat sich ziemlich lange geschleppt. die schlußpointe fand ich allerdings gelungen.",0
"war mal endlich wieder was normales",1
super! danke!,1
klasse!!!,1
"das thema war stark!!! wunderbar undurchsichtig!!!👍🏼",1
1 hat mir sehr gut gefallen,1
großartig,1
sehr gut 👍,1
war mal wirklich seid langem sehr gut und vor allem mal nichts mit dem ständigem thema ausländer.,1
2. ich fand ihn sehr unterhaltsam.,1
1 ! . ....endlich mal wieder 👍,1
absolut langweilig...,0
solide. auf die kölner ist verlass!,1
"so, wir es mir gefällt. ein bisschen wir früher 😃",1
2 . solider tatort,1
"1-2 war so schön 'normal'",1
eine glatte 1 ! fand den klasse 👍,1
"ich gebe eine 1, weil ich wirklich sehr gut unterhalten wurde.",1
sehr gut 👍🏼👍🏼👍🏼,1
"ich fand den richtig gut. ein bisschen oldschool, aber echt spannend, voller Überraschungen.",1
wie immer ihr seit die besten nach schimanski,1
3 die zwei kommissare haben es rausgerissen.,1
das war spitzenmäßig von mir eine 1 😊,1
war gut.,1
"welch eine nachbarschaft...
aber ich fühlte mich mit diesem tatort gut unterhalten! 👍",1
1 war sehr gut,1
langweilig,0
besser als der kieler!,1
sehr gut,1
bis zum schluss drangeblieben.....will was heißen 😉👍,1
der tatort bekommt von mir eine 1. endlich mal wieder ein toller tatort,1
ich kenne besseres von den kölnern. schwach zum einschlafen.,0
war gut und spannend.,1
1 endlich mal wieder ein guter tatort. ich mag beide schauspieler sehr gerne in dieser serie sehen.,1
so dass war eine glatte 1 mit ! zeichen super,1
endlich mal wieder ein guter tatort. note 1,1
"ein guter tatort. für mich ein bisschen verwirrend, die ganzen familiären zusammenhänge. hat sich dann ja aufgelöst 😊 gut gespielt!!! gute soundtracks!!bekommt ne 2 👍👍",1
sehr gut...mal wieder was zum ansehen und spannung pur.,1
eins plus.,1
1 war super,1
super 👍 tatort,1
hat mir sehr gefallen.,1
"solide, klassisch ohne experimente...also gut",1
wer nachbarn hat braucht keine feinde mehr ;-),1
"so stell ich mir nen spannenden sonntagskrimi vor...düstere geschichte, sehr krass aber durchaus realistisch...sehr gut.",1
note 3,0
3 ziemlich zäh das ganze dieses mal.....,0
1 endlich mal wieder ein spannender tatort,1
sehr gut,1
